Дата,Аэропорт вылета,Аэропорт прилёта,Время вылета,Время прилёта,Авиакомпания(и),Минимальная цена билета
08.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",9560
09.02.2025,РЩН,НУР,07:30,09:10,"Ямал, ЮТэйр",17285
10.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",17333
11.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал",8516
12.02.2025,РЩН,НУР,20:05,08:05,"ЮТэйр, Ред Вингс, S7 Airlines",18518
13.02.2025,РЩН,НУР,05:35,07:35,"ЮТэйр, S7 Airlines",46333
14.02.2025,РЩН,НУР,16:00,10:55,"ЮТэйр, Ред Вингс, S7 Airlines",19025
15.02.2025,РЩН,НУР,13:25,15:15,"ИрАэро, S7 Airlines",24351
16.02.2025,РЩН,НУР,22:30,11:15,"S7 Airlines, Ямал, ЮТэйр",25898
17.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, S7 Airlines",10637
18.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",9515
19.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",9515
20.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",9515
21.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",9515
22.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",9515
23.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",9515
24.02.2025,РЩН,НУР,07:30,09:10,"Ямал, S7 Airlines",18731
25.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",9515
26.02.2025,РЩН,НУР,07:30,09:10,"Ямал, S7 Airlines",18731
27.02.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",9515
28.02.2025,РЩН,НУР,07:30,09:10,"Ямал, S7 Airlines",18731
01.03.2025,РЩН,НУР,09:10,11:20,"ЮТэйр, Ямал, S7 Airlines",9515
